@relation 'Main_SemC_17-18-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R15-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R14-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R18,23-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R19-22-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R33-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R24-32-precision6-weka.filters.unsupervised.attribute.Discretize-B3-M-1.0-R2-precision6-weka.filters.unsupervised.attribute.Remove-R1-2,4,6-7,10-11,16,19-23,27,29-31,33'

@attribute A3 {YES,NO}
@attribute A5 {YES,NO}
@attribute A8 {UNCOATED,COATED,coated,super,uncoated}
@attribute A9 {UNCOATED,COATED,COVER,coated,uncoated,cover}
@attribute A12 {YES,NO,no,yes}
@attribute A13 {Motter94,WoodHoe70,Albert70,Motter70}
@attribute A14 {'\'(-inf-810.666667]\'','\'(810.666667-819.333333]\'','\'(819.333333-inf)\''}
@attribute A15 {'\'(-inf-4]\'','\'(4-7]\'','\'(7-inf)\''}
@attribute A17 {NorthUS,CANADIAN,CANAdiAN,SCANDANAVIAN,SouthUS,mideuropean}
@attribute A18 {'\'(-inf-40.833333]\'','\'(40.833333-56.666667]\'','\'(56.666667-inf)\''}
@attribute A24 {'\'(-inf-11.933333]\'','\'(11.933333-23.866667]\'','\'(23.866667-inf)\''}
@attribute A25 {'\'(-inf-866.666667]\'','\'(866.666667-1733.333333]\'','\'(1733.333333-inf)\''}
@attribute A26 {'\'(-inf-52.966667]\'','\'(52.966667-64.933333]\'','\'(64.933333-inf)\''}
@attribute A28 {'\'(-inf-5.333333]\'','\'(5.333333-10.666667]\'','\'(10.666667-inf)\''}
@attribute A32 {'\'(-inf-35]\'','\'(35-40]\'','\'(40-inf)\''}
@attribute A34 {band,noband}

@data
YES,YES,UNCOATED,COVER,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,UNCOATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,COATED,COATED,NO,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,UNCOATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,COATED,COATED,NO,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,NO,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,COATED,COATED,NO,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Albert70,'\'(-inf-810.666667]\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,COVER,NO,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,UNCOATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(64.933333-inf)\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(4-7]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,NO,Motter94,'\'(819.333333-inf)\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,UNCOATED,COATED,NO,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,UNCOATED,COATED,NO,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,NO,Albert70,'\'(-inf-810.666667]\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
NO,NO,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,NO,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(5.333333-10.666667]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,NO,Motter94,'\'(819.333333-inf)\'','\'(4-7]\'',NorthUS,'\'(-inf-40.833333]\'','\'(23.866667-inf)\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,COVER,NO,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,UNCOATED,COVER,NO,Motter94,'\'(819.333333-inf)\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,NO,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
NO,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(4-7]\'',SCANDANAVIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',SCANDANAVIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(5.333333-10.666667]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(5.333333-10.666667]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(5.333333-10.666667]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(5.333333-10.666667]\'','\'(-inf-35]\'',noband
YES,YES,COATED,UNCOATED,NO,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,COATED,UNCOATED,NO,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',NorthUS,'\'(-inf-40.833333]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',mideuropean,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(4-7]\'',mideuropean,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,COVER,YES,Albert70,'\'(-inf-810.666667]\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,NO,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(56.666667-inf)\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,NO,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,COVER,NO,Motter70,'\'(810.666667-819.333333]\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,NO,Motter94,'\'(819.333333-inf)\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(23.866667-inf)\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(64.933333-inf)\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,UNCOATED,UNCOATED,NO,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(4-7]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(40-inf)\'',noband
YES,YES,UNCOATED,UNCOATED,NO,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(40-inf)\'',noband
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(56.666667-inf)\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(11.933333-23.866667]\'','\'(1733.333333-inf)\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,UNCOATED,NO,Motter94,'\'(819.333333-inf)\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,NO,WoodHoe70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',band
YES,YES,UNCOATED,UNCOATED,YES,Albert70,'\'(-inf-810.666667]\'','\'(-inf-4]\'',NorthUS,'\'(-inf-40.833333]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Albert70,'\'(-inf-810.666667]\'','\'(4-7]\'',NorthUS,'\'(-inf-40.833333]\'','\'(11.933333-23.866667]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,WoodHoe70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(-inf-35]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(4-7]\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
YES,YES,UNCOATED,UNCOATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(-inf-4]\'',NorthUS,'\'(56.666667-inf)\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(-inf-52.966667]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',band
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(7-inf)\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(10.666667-inf)\'','\'(35-40]\'',noband
NO,YES,COATED,COATED,YES,Motter94,'\'(819.333333-inf)\'','\'(-inf-4]\'',CANADIAN,'\'(-inf-40.833333]\'','\'(-inf-11.933333]\'','\'(1733.333333-inf)\'','\'(52.966667-64.933333]\'','\'(10.666667-inf)\'','\'(-inf-35]\'',noband
YES,YES,COATED,COATED,YES,Motter70,'\'(810.666667-819.333333]\'','\'(7-inf)\'',NorthUS,'\'(40.833333-56.666667]\'','\'(-inf-11.933333]\'','\'(866.666667-1733.333333]\'','\'(52.966667-64.933333]\'','\'(-inf-5.333333]\'','\'(35-40]\'',noband
